	{
		{1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 3, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 2, 4, 3, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 2, 2, 5, 2, 9, 5, 8, 7, 6, 4, 1, 6, 1, 0, 0, 0, 0, 0, },
		{1, 0, 0, 0, 0, 2, 1, 0, 1, 2, 1, 0, 7, 23, 20, 21, 135, 145, 180, 35, 174, 255, 252, 133, 0, 0, 0, 0, },
		{0, 0, 3, 0, 1, 2, 0, 3, 32, 39, 99, 159, 173, 255, 255, 255, 255, 255, 232, 176, 255, 244, 199, 65, 0, 0, 0, 0, },
		{1, 0, 1, 0, 1, 0, 3, 47, 241, 255, 255, 255, 255, 255, 255, 255, 255, 255, 103, 85, 86, 62, 41, 5, 0, 0, 0, 0, },
		{1, 0, 0, 1, 0, 0, 4, 14, 227, 255, 253, 253, 252, 255, 204, 194, 242, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 1, 0, 0, 0, 2, 84, 157, 109, 255, 250, 208, 12, 11, 41, 156, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 151, 252, 86, 5, 6, 4, 4, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 139, 252, 188, 1, 6, 2, 5, 7, 2, 4, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 14, 188, 255, 71, 10, 5, 8, 5, 6, 3, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38, 241, 230, 163, 111, 4, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 240, 253, 255, 124, 28, 3, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 185, 253, 254, 150, 30, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 110, 255, 255, 194, 0, 1, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 255, 255, 253, 69, 2, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 41, 120, 197, 255, 255, 211, 0, 1, 0, 0, 0, 0, 0, 0, },
		{0, 3, 0, 0, 3, 3, 3, 2, 0, 0, 0, 0, 36, 144, 221, 251, 255, 255, 254, 182, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 1, 3, 2, 0, 4, 5, 10, 27, 113, 221, 251, 254, 252, 254, 201, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 3, 0, 1, 7, 2, 32, 72, 217, 254, 255, 254, 255, 204, 86, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 5, 0, 7, 5, 20, 172, 228, 255, 255, 255, 255, 202, 87, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 1, 58, 177, 227, 255, 255, 255, 255, 248, 138, 23, 9, 12, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{2, 0, 1, 1, 137, 254, 255, 255, 212, 137, 133, 19, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 4, 0, 2, 2, 5, 4, 3, 2, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 1, 0, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
		{0, 0, 0, 0, 0, 7, 0, 6, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, },
	},

