	{
		{0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.011765, 0.000000, 0.000000, 0.000000, 0.003922, 0.007843, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023529, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.015686, 0.003922, 0.007843, 0.015686, 0.011765, 0.015686, 0.000000, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.011765, 0.000000, 0.000000, 0.003922, 0.003922, 0.000000, 0.000000, 0.007843, 0.007843, 0.019608, 0.007843, 0.035294, 0.019608, 0.031373, 0.027451, 0.023529, 0.015686, 0.003922, 0.023529, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.003922, 0.000000, 0.003922, 0.007843, 0.003922, 0.000000, 0.027451, 0.090196, 0.078431, 0.082353, 0.529412, 0.568627, 0.705882, 0.137255, 0.682353, 1.000000, 0.988235, 0.521569, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.011765, 0.000000, 0.003922, 0.007843, 0.000000, 0.011765, 0.125490, 0.152941, 0.388235, 0.623529, 0.678431, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.909804, 0.690196, 1.000000, 0.956863, 0.780392, 0.254902, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.003922, 0.000000, 0.003922, 0.000000, 0.003922, 0.000000, 0.011765, 0.184314, 0.945098, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.403922, 0.333333, 0.337255, 0.243137, 0.160784, 0.019608, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.003922, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.015686, 0.054902, 0.890196, 1.000000, 0.992157, 0.992157, 0.988235, 1.000000, 0.800000, 0.760784, 0.949020, 0.952941, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.007843, 0.329412, 0.615686, 0.427451, 1.000000, 0.980392, 0.815686, 0.047059, 0.043137, 0.160784, 0.611765, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
